,OBSPROJECT_UID,PI,PRJ_NAME,CODE,PRJ_SCIENTIFIC_RANK,PRJ_VERSION,PRJ_LETTER_GRADE,PRJ_STATUS,OBSPROPOSAL_UID,EXEC,timestamp,xmlfile,SCICAT,BANDS,time12m_aprc,time7m_aprc,timeTP_aprc,timeNonStd_aprc,APRCRank,APRCGrade,OBSREVIEW_UID
26,uid://A001/X1ac/Xf,cflee,Toward Resolving the Magnetic Flux Problem in Star Formation: Mapping Poloidal B-Field in Edge-on Disks,2015.1.00037.S,19.0,0,A,Phase1Submitted,uid://A001/X1ac/X10,EA,0,uid___A001_X1ac_Xf.xml,3,7.0,3.0,0.0,0.0,3.0,19,A,uid://A001/X200/X122a
27,uid://A001/X1ed/X19e,bmcguire,Tracing UV Photodissociation in the HD 163296 Circumstellar Disk Using l-C3H+,2015.1.00303.S,764.0,0,C,Phase1Submitted,uid://A001/X1ed/X19f,NA,0,uid___A001_X1ed_X19e.xml,4,6.0,6.3,0.0,0.0,0.0,764,U,uid://A001/X200/X5ea
28,uid://A001/X1ed/X9fd,dperley,"Luminous, Dust-Enshrouded High-z Galaxies Selected by Gamma-Ray Bursts",2015.1.00927.S,867.0,0,C,Phase1Submitted,uid://A001/X1ed/X9fe,NA,0,uid___A001_X1ed_X9fd.xml,1,7.0,3.7,0.0,0.0,0.0,867,C,uid://A001/X201/X805
29,uid://A001/X1ee/X1c6,rjassef,High-Resolution [Cii]Imaging of the Most Luminous Galaxy,2015.1.00309.S,1039.0,0,C,Phase1Submitted,uid://A001/X1ee/X1c7,CL,0,uid___A001_X1ee_X1c6.xml,1,7.0,2.7,0.0,0.0,0.0,1039,U,uid://A001/X200/X64a
30,uid://A001/X1ed/Xc5f,psantini,Puzzling dust content in low mass galaxies,2015.1.01087.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ed/Xc60,EU,0,uid___A001_X1ed_Xc5f.xml,1,7.0,2.2,0.0,0.0,0.0,1142,U,uid://A001/X200/Xc23
31,uid://A001/X1ed/X79e,msymeonidis,ALMA observations of the local host galaxy of GRB 031203,2015.1.00756.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ed/X79f,EU,0,uid___A001_X1ed_X79e.xml,2,7.0,9.3,0.0,0.0,0.0,1242,U,uid://A001/X200/X4e4
32,uid://A001/X1ee/X1337,dominiqueseguracox,Has Planet Formation Already Begun in the Class I Protostellar Phase?,2015.1.01512.S,45.0,0,A,Phase1Submitted,uid://A001/X1ee/X1338,NA,0,uid___A001_X1ee_X1337.xml,4,6.0,5.7,0.0,0.0,5.3,45,A,uid://A001/X201/Xe0a
33,uid://A001/X1ee/Xf9c,mnegrello,Star formation and AGN fuelling at ~1kpc scales in two dusty starforming  lensed galaxies at z~1.6,2015.1.01295.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ee/Xf9d,EU,0,uid___A001_X1ee_Xf9c.xml,1,4.0,7.6,0.0,0.0,0.0,1383,U,uid://A001/X201/Xbd2
34,uid://A001/X1ad/X1,baobab,Resolving atomic gas in the accretion flow surrounding Sgr A*,2015.1.00035.S,96.0,0,A,Phase1Submitted,uid://A001/X1ad/X2,NA,0,uid___A001_X1ad_X1.xml,2,8.0,1.2,2.4,4.8,1.2,96,A,uid://A001/X200/X121f
35,uid://A001/X1b3/X59,hansolof,The jet-launching mechansim in HD101584,2015.1.00078.S,175.0,0,B,Phase1Submitted,uid://A001/X1b3/X5a,EU,0,uid___A001_X1b3_X59.xml,5,6.0,3.6,0.0,0.0,3.0,175,B,uid://A001/X200/X1493
36,uid://A001/X1ee/X9a7,barth,The mass of the black hole in NGC 1332,2015.1.00896.S,52.0,0,A,Phase1Submitted,uid://A001/X1ee/X9a8,NA,0,uid___A001_X1ee_X9a7.xml,2,6.0,5.3,0.0,0.0,5.3,52,A,uid://A001/X201/X6cc
37,uid://A001/X1b1/X106,leslielooney,Do more evolved T Tauri disks have magnetic fields like HL Tau?,2015.1.00118.S,95.0,0,A,Phase1Submitted,uid://A001/X1b1/X107,NA,0,uid___A001_X1b1_X106.xml,4,6.0,3.2,0.0,0.0,3.2,95,A,uid://A001/X201/Xeb2
38,uid://A001/X1ee/X6e4,mlacy,The AGN disk and outflow of NGC1068 revealed through polarised dust emission,2015.1.00693.S,402.0,0,C,Phase1Submitted,uid://A001/X1ee/X6e5,NA,0,uid___A001_X1ee_X6e4.xml,2,7.0,9.4,0.0,0.0,9.4,402,U,uid://A001/X200/X1c9
39,uid://A001/X1ee/X111,bolatto,The Gas Mass and ISM Heating in Normal Galaxies Near the Peak of Cosmic Star Formation Activity,2015.1.00257.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ee/X112,NA,0,uid___A001_X1ee_X111.xml,2,963.0,11.9,0.0,0.0,8.8,1406,U,uid://A001/X200/X17c
40,uid://A001/X1ee/X117,jeskj,Properties and evolution of embedded protostellar disks,2015.1.00259.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ee/X118,EU,0,uid___A001_X1ee_X117.xml,3,7.0,4.7,0.0,0.0,0.0,1160,U,uid://A001/X200/X18d
41,uid://A001/X1ee/X163,adeleplunkett,Serpens South: Morphology and kinematics of the protostar at the cluster center,2015.1.00283.S,228.0,0,B,Phase1Submitted,uid://A001/X1ee/X164,NA,0,uid___A001_X1ee_X163.xml,3,7.0,5.4,0.0,0.0,0.0,228,B,uid://A001/X200/X2d7
42,uid://A001/X1ee/X67e,tadakiken,Physical mechanisms of bulge formation in galaxies at z=2,2015.1.00664.S,557.0,0,C,Phase1Submitted,uid://A001/X1ee/X67f,EU,0,uid___A001_X1ee_X67e.xml,1,6.0,8.3,0.0,0.0,0.0,557,C,uid://A001/X201/X268
43,uid://A001/X1fc/X17,cgoddi,Disks around O-type stars: the W51 complex,2015.1.01596.S,21.0,0,A,Phase1Submitted,uid://A001/X1fc/X18,EU,0,uid___A001_X1fc_X17.xml,3,6.0,5.6,0.0,0.0,5.6,21,A,uid://A001/X200/X1705
44,uid://A001/X1ed/X6c0,xfan,Probing the Host Galaxy of the Most Massive Black Hole at the End of Reionization,2015.1.00692.S,23.0,0,A,Phase1Submitted,uid://A001/X1ed/X6c1,NA,0,uid___A001_X1ed_X6c0.xml,1,6.0,2.2,0.0,0.0,0.0,23,A,uid://A001/X200/X1c6
45,uid://A001/X1ed/X3d8,anishimura,M17 SW: Possible candidate for future formation of High-Mass Star Cluster,2015.1.00469.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ed/X3d9,EA,0,uid___A001_X1ed_X3d8.xml,3,3.0,2.4,4.8,9.7,0.0,1393,U,uid://A001/X201/X375
46,uid://A001/X199/X1,kristen,High Resolution mm-Interferometry of a Highly Magnified Lyman Break Galaxy at z=3.07,2015.1.00009.S,99.0,0,A,Phase1Submitted,uid://A001/X199/X2,EU,0,uid___A001_X199_X1.xml,1,3.0,3.2,0.0,0.0,0.0,99,A,uid://A001/X201/X78
47,uid://A001/X1ed/X1493,mneeleman,[C II]158 micron Emision from Absorption-Selected Galaxies at z ~ 4,2015.1.01564.S,11.0,0,A,Phase1Submitted,uid://A001/X1ed/X1494,NA,0,uid___A001_X1ed_X1493.xml,1,78.0,6.1,0.0,0.0,2.4,11,A,uid://A001/X200/X1605
48,uid://A001/X1ac/X1b,ams,A Redshift Survey of ALMA identified Sub-mm Galaxies at z>4,2015.1.00039.S,62.0,0,A,Phase1Submitted,uid://A001/X1ac/X1c,EU,0,uid___A001_X1ac_X1b.xml,1,7.0,4.1,0.0,0.0,4.1,62,A,uid://A001/X200/X1264
49,uid://A001/X1ee/Xcdf,lperez,A novel method to measure turbulent viscosity in the LkCa 15 transitional disk,2015.1.01124.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ee/Xce0,NA,0,uid___A001_X1ee_Xcdf.xml,4,36.0,2.2,0.0,0.0,1.3,1390,U,uid://A001/X200/Xccf
50,uid://A001/X1ee/X57a,astutz,Mass infall rates in Class 0 protostellar envelopes,2015.1.00579.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ee/X57b,EU,0,uid___A001_X1ee_X57a.xml,3,6.0,4.5,0.0,0.0,0.0,1167,U,uid://A001/X200/X86a
51,uid://A001/X1ee/X1012,gerin,Probing nitrogen chemistry with the ortho-para ratio of the amidogen (NH2) radical,2015.1.01319.S,885.0,0,C,Phase1Submitted,uid://A001/X1ee/X1013,EU,0,uid___A001_X1ee_X1012.xml,3,8.0,1.8,0.0,0.0,1.8,885,U,uid://A001/X201/Xcda
52,uid://A001/X1ee/X9ad,emonts,Cold gas halos at z~2: evolution of massive galaxies within a molecular IGM,2015.1.00897.S,537.0,0,C,Phase1Submitted,uid://A001/X1ee/X9ae,EU,0,uid___A001_X1ee_X9ad.xml,1,3.0,4.7,9.4,0.0,0.0,537,C,uid://A001/X201/X6cf
53,uid://A001/X198/X53,eibar,A resolved view to the dust content in star-forming Halpha galaxies at z = 1.47-2.23,2015.1.00026.S,480.0,0,B,Phase1Submitted,uid://A001/X198/X54,CL,0,uid___A001_X198_X53.xml,1,76.0,9.7,0.0,0.0,0.0,480,B,uid://A001/X200/X11bb
54,uid://A001/X1ed/Xc95,odysseas,Imaging the circumstellar matter around the Class 0 protostellar binary SMM1/FIRS1 in Serpens,2015.1.01099.S,750.0,0,C,Phase1Submitted,uid://A001/X1ed/Xc96,EU,0,uid___A001_X1ed_Xc95.xml,3,6.0,2.2,0.0,0.0,0.0,750,C,uid://A001/X201/X886
55,uid://A001/X1ed/Xce6,saigokz,Resolving fragmentation of high-density gas in the nearest mini-protostar cluster in Barnard 59,2015.1.01122.S,1117.0,0,C,Phase1Submitted,uid://A001/X1ed/Xce7,EA,0,uid___A001_X1ed_Xce6.xml,3,6.0,4.2,8.4,16.7,0.0,1117,U,uid://A001/X200/Xcbd
56,uid://A001/X1ed/Xa9d,toshikisaito,HCN AND HCO+ LADDER IN THE LUMINOUS MERGER VV 114 FOR INVESTIGATING THE IR-ENGINES,2015.1.00973.S,740.0,0,C,Phase1Submitted,uid://A001/X1ed/Xa9e,EA,0,uid___A001_X1ed_Xa9d.xml,2,86.0,4.0,0.0,0.0,3.1,740,C,uid://A001/X200/Xdbf
57,uid://A001/X198/X36,jzc,Triggered star formation in Arp 240 as a link to the most extreme star forming galaxies at high-redshift,2015.1.00018.S,999999.0,0,C,Phase1Submitted,uid://A001/X198/X37,EU,0,uid___A001_X198_X36.xml,2,6.0,2.2,0.0,0.0,0.0,1277,U,uid://A001/X200/X1180
58,uid://A001/X1ee/X530,ktwong,Probing Ammonia Formation in Oxygen-rich Circumstellar Envelopes,2015.1.00557.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ee/X531,EU,0,uid___A001_X1ee_X530.xml,5,84.0,6.5,0.0,0.0,3.4,1356,U,uid://A001/X200/X7ff
59,uid://A001/X1ee/X53d,guilloteau,Controversy in protoplanetary disks: optically thick rings or real grain growth ?,2015.1.00563.S,631.0,0,C,Phase1Submitted,uid://A001/X1ee/X53e,EU,0,uid___A001_X1ee_X53d.xml,4,6.0,6.0,0.0,0.0,6.0,631,U,uid://A001/X200/X820
60,uid://A001/X1ed/X4f8,chummel,Resolving the nature of the massive young stellar object IRS 9A in NGC 3603 harbouring an O-star,2015.1.00560.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ed/X4f9,EU,0,uid___A001_X1ed_X4f8.xml,3,67.0,2.9,2.3,4.5,0.0,1360,U,uid://A001/X200/X811
61,uid://A001/X199/X3f,gerin,Zooming in onto the First Hydrostatic Core Candidate and young Class 0 in Barnard 1,2015.1.00025.S,262.0,0,B,Phase1Submitted,uid://A001/X199/X40,EU,0,uid___A001_X199_X3f.xml,3,67.0,5.9,0.0,0.0,0.9,262,B,uid://A001/X200/X11b7
62,uid://A001/X1ed/X1c5,mkama,Can planetesimals form around neutron stars?,2015.1.00318.S,1051.0,0,C,Phase1Submitted,uid://A001/X1ed/X1c6,EU,0,uid___A001_X1ed_X1c5.xml,4,7.0,8.8,0.0,0.0,0.0,1051,U,uid://A001/X200/X6dd
63,uid://A001/X1ee/X96,melaniechevance,The molecular cloud structure in the low-metallicity environment of 30 Doradus,2015.1.00217.S,69.0,1.0,A,Phase1Submitted,uid://A001/X1ee/X97,EU,0,uid___A001_X1ee_X96.xml,3,6.0,4.3,4.0,0.0,2.0,69,A,uid://A001/X200/Xc8
64,uid://A001/X1b3/Xe1,shan,CO and Star Formation in HIghMass Galaxies,2015.1.00120.S,1062.0,0,C,Phase1Submitted,uid://A001/X1b3/Xe2,EA,0,uid___A001_X1b3_Xe1.xml,2,3.0,11.1,0.0,0.0,0.0,1062,U,uid://A001/X200/X1691
65,uid://A001/X1b3/Xf4,cavalie,The first spatial map of CO in the stratosphere of Uranus: Tracing external influences on composition and constraining the general circulation,2015.1.00124.S,999999.0,0,C,Phase1Submitted,uid://A001/X1b3/Xf5,EU,0,uid___A001_X1b3_Xf4.xml,4,7.0,3.0,0.0,0.0,0.0,1457,U,uid://A001/X200/X16b8
66,uid://A001/X1ed/X514,cmcasey,Resolved Dust in the Hottest and Coldest SMGs: What does dust temperature really tell us?,2015.1.00568.S,366.0,0,B,Phase1Submitted,uid://A001/X1ed/X515,NA,0,uid___A001_X1ed_X514.xml,1,7.0,2.0,0.0,0.0,0.0,366,B,uid://A001/X200/X836
67,uid://A001/X1ed/Xc8f,yyang,Pinpointing the Energy Sources within Giant Lyman Alpha Nebulae in a z=2.3 Proto-cluster,2015.1.01098.S,738.0,0,C,Phase1Submitted,uid://A001/X1ed/Xc90,EA,0,uid___A001_X1ed_Xc8f.xml,1,7.0,2.9,0.0,0.0,0.0,738,U,uid://A001/X200/Xc39
68,uid://A001/X1ed/Xcab,aurora,A Molecular Web in the Centaurus Cluster Core,2015.1.01106.S,711.0,0,C,Phase1Submitted,uid://A001/X1ed/Xcac,EA,0,uid___A001_X1ed_Xcab.xml,2,7.0,7.6,0.0,0.0,0.0,711,U,uid://A001/X201/X8bd
69,uid://A001/X1ee/X600,hrussell,AGN feedback and jet triggered star formation in Abell 1795,2015.1.00623.S,498.0,0,C,Phase1Submitted,uid://A001/X1ee/X601,EU,0,uid___A001_X1ee_X600.xml,2,6.0,2.2,0.0,0.0,0.0,498,C,uid://A001/X201/X8e
70,uid://A001/X1ed/Xa18,jott,Mapping the Sphere of Influence of the Active Supermassive Black Hole in Centaurus A,2015.1.00933.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ed/Xa19,NA,0,uid___A001_X1ed_Xa18.xml,2,6.0,7.4,0.0,0.0,3.2,1503,U,uid://A001/X201/X882
71,uid://A001/X1ee/X6cd,nareddy,The Metallicity Dependence of the CO-H_2 Conversion Factor in z~2 Star-forming Galaxies,2015.1.00688.S,687.0,0,C,Phase1Submitted,uid://A001/X1ee/X6ce,NA,0,uid___A001_X1ee_X6cd.xml,1,3.0,9.9,0.0,0.0,0.0,687,U,uid://A001/X200/X1a9
72,uid://A001/X1ee/X43e,hondamt,Resolving the double gaps in the disk around HD 169142,2015.1.00490.S,437.0,0,B,Phase1Submitted,uid://A001/X1ee/X43f,EA,0,uid___A001_X1ee_X43e.xml,4,67.0,5.6,0.0,0.0,0.0,437,B,uid://A001/X200/X50d
73,uid://A001/X1ed/X108a,wvlemmings,Magnetic fields in different evolutionary stages of massive star formation,2015.1.01349.S,214.0,0,B,Phase1Submitted,uid://A001/X1ed/X108b,EU,0,uid___A001_X1ed_X108a.xml,3,7.0,3.0,0.0,0.0,3.0,214,B,uid://A001/X201/Xd26
74,uid://A001/X1ee/Xbba,jcernicharo,A HIGH ANGULAR RESOLUTION STUDY OF THE DUST FORMATION ZONE OF IRC+10216,2015.1.01050.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ee/Xbbb,EU,0,uid___A001_X1ee_Xbba.xml,5,7.0,7.6,0.0,0.0,1.7,1421,U,uid://A001/X201/X640
75,uid://A001/X1ee/X70e,larmus,Hearts of Darkness: A Look at the Most Heavily Obscured LIRGs with ALMA,2015.1.00708.S,316.0,0,B,Phase1Submitted,uid://A001/X1ee/X70f,NA,0,uid___A001_X1ee_X70e.xml,2,7.0,4.0,0.0,0.0,0.0,316,B,uid://A001/X201/X314
76,uid://A001/X1ee/X95d,ggalaz,The dust and molecular gas content of Malin 1,2015.1.00877.S,1111.0,0,C,Phase1Submitted,uid://A001/X1ee/X95e,CL,0,uid___A001_X1ee_X95d.xml,2,6.0,1.2,0.0,0.0,0.0,1111,U,uid://A001/X200/Xb5c
77,uid://A001/X1ed/Xf98,nbutterfield,G0.11-0.08: An Unusual Massive and Dense Cloud in the Galactic Center,2015.1.01297.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ed/Xf99,NA,0,uid___A001_X1ed_Xf98.xml,3,3.0,2.5,0.0,0.0,0.0,1377,U,uid://A001/X201/Xbe2
78,uid://A001/X1ed/X1121,pmachado,Mars global dust storm winds with ALMA,2015.1.01383.T,999999.0,0,C,Phase1Submitted,uid://A001/X1ed/X1122,EU,0,uid___A001_X1ed_X1121.xml,4,63.0,4.6,0.0,0.0,0.0,1485,U,uid://A001/X200/X12c4
79,uid://A001/X1ee/X676,hwyen,Magnetic Field and Rotation in Proto-circumstellar Disk Formation,2015.1.00663.S,581.0,0,C,Phase1Submitted,uid://A001/X1ee/X677,EA,0,uid___A001_X1ee_X676.xml,4,7.0,4.2,0.0,0.0,4.2,581,U,uid://A001/X201/X24d
80,uid://A001/X1ee/X6c6,pcortes,Anatomy of a blazar magnetic field with ALMA: PKS 0521-365,2015.1.00687.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ee/X6c7,NA,0,uid___A001_X1ee_X6c6.xml,2,37.0,6.0,0.0,0.0,6.0,1318,U,uid://A001/X200/X1a5
81,uid://A001/X1ee/X8cc,fbacciotti,B-field maps vs jet rotation: the ultimate test of MHD angular momentum extraction,2015.1.00840.S,81.0,0,A,Phase1Submitted,uid://A001/X1ee/X8cd,EU,0,uid___A001_X1ee_X8cc.xml,3,7.0,3.0,0.0,0.0,3.0,81,A,uid://A001/X200/Xa45
82,uid://A001/X1ee/X519,takakuwa,Mechanism of Material Feeding to the Planet-Forming Disk in HL Tau,2015.1.00551.S,63.0,0,B,Phase1Submitted,uid://A001/X1ee/X51a,EA,0,uid___A001_X1ee_X519.xml,4,36.0,2.2,1.8,0.0,0.0,63,B,uid://A001/X200/X7e0
83,uid://A001/X1ee/Xebd,mbothwell,Mapping molecular gas in MaNGA galaxies,2015.1.01239.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ee/Xebe,EU,0,uid___A001_X1ee_Xebd.xml,2,3.0,7.7,0.0,0.0,0.0,1151,U,uid://A001/X201/X9fb
84,uid://A001/X1ee/X8eb,ncrocket,H2S: A New Probe of Hidden Luminosity in Orion KL,2015.1.00848.S,264.0,0,B,Phase1Submitted,uid://A001/X1ee/X8ec,NA,0,uid___A001_X1ee_X8eb.xml,3,9.0,1.5,2.9,0.0,1.5,264,B,uid://A001/X201/X590
